district,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
삼도2동,0.14248141096080066,0.22552620668473952,0.13582305214578985,0.14964319955642347,0.21461386026533227,0.14152113587251097,0.12764867902787147,0.2086320831501166,0.16343555211871524,0.22454528390677944,0.1594480438310925,0.25935610952532195
삼양동,0.16474761414161349,0.16601281146874633,0.14582698146010667,0.16358817872309375,0.14928814423988698,0.16285933292964427,0.17126098050753924,0.1457650443306953,0.14759411637930783,0.12126639632325154,0.1555733084933441,0.15343532699785975
아라동,0.4200085023510119,0.4548555662132223,0.8125789942753109,0.5486427524163008,0.5086618271905159,0.5051212368831464,0.4637665464511877,0.49655299077628695,0.6007520315674056,0.5248629589085877,0.5241037176998462,0.47546079567091526
애월읍,0.7696046696828573,0.760403947186472,0.8260952880315123,0.935235490990346,0.8062440841809558,0.9061729505361015,0.89415650952858,0.9273528197104255,0.8373006451645637,0.8132724738292654,0.8074051963857476,0.7742065030887655
연동,0.8645292438727172,0.8775267129017159,0.8543220264866936,0.9294027539986877,0.8615500548547272,0.8538708751387463,0.8397585323868157,0.8422143220895848,0.8336296975498452,0.8869341574911265,0.8928783668638365,0.9177927073823751
오라동,0.35268517746252914,0.5519054305096045,0.353600550419851,0.38059168608233457,0.5132562107186087,0.34817000653038477,0.35392824290727753,0.5158350601017732,0.3276663888108108,0.5021147100244205,0.3595301620981488,0.5686936322712846
외도동,0.15458580470039712,0.13981613192167897,0.1419266523875592,0.18844925553348166,0.1558231102202174,0.16245590726447315,0.14340340408171323,0.14224775218572946,0.15709545488674195,0.13968549297079857,0.14423793336006235,0.14930560280414915
용담1동,0.10774041746214294,0.18700494790247527,0.10103252998445192,0.10430584649842156,0.1609539795087815,0.09538687643340626,0.08622934939560012,0.14904362111184294,0.08835376066113695,0.146731423453442,0.09289162582064073,0.1754077118951238
용담2동,0.4114806912584955,0.4328753766174075,0.3735355645916871,0.4547466265923881,0.4333607867741184,0.4338095952664351,0.434284096686341,0.486989152775081,0.44255147192945066,0.43600130689637906,0.4227297043168595,0.4365975529727537
우도면,0.0,0.0006086381281204256,0.0,0.0,0.0,0.0,0.0017049335614425995,0.00909465937231431,0.0,0.0027094191360312117,0.0,0.0
이도1동,0.21214264245439018,0.3594577558783116,0.20229641616463276,0.22303945376691864,0.32920192632547357,0.2108247721137393,0.19689540555793644,0.3210123875584689,0.21043137865444925,0.339594869768309,0.2191174021576336,0.36851186641654454
이도2동,1.0,1.0,1.0,1.0000000000000002,0.9364774672806522,0.9999999999999999,0.9999999999999999,0.9110147254226753,1.0,0.9164250574221476,0.9999999999999999,0.9866264092789863
이호동,0.06600353048722848,0.10407509913820456,0.06166815781821177,0.07057859545279435,0.12170419642240576,0.06924309904531983,0.06850326240687771,0.10737218888038647,0.05047370453988412,0.10225881171993481,0.06004694919579478,0.10171487965657713
일도1동,0.062301286506207185,0.11223282184551422,0.058509846103411,0.06732916986070497,0.10881395357735638,0.06127874541150558,0.041293084607492876,0.07586946475574044,0.04779698448257018,0.081994298775793,0.050885232659323924,0.10835265713614062
일도2동,0.41746540158947426,0.42560869050161887,0.3768624782979898,0.40641067348714305,0.36607477911684444,0.3952535073843807,0.4122832330600794,0.33764274610242034,0.4063290386673264,0.3458618661744153,0.38973658458789523,0.3943135729725262
조천읍,0.31342707432393707,0.4516797898047262,0.32047754676631107,0.4219291606700831,0.6212291770631844,0.40672649744750555,0.39246738223978117,0.6231375366976586,0.37142325494783224,0.5851478691902818,0.3691524426130071,0.4561432562194606
추자면,0.005204177529511939,0.0,0.005774689925515379,0.010961519857281894,0.010680834352879462,0.004879798585189783,0.0,0.0,0.005907458385906186,0.0,0.011641810417275855,0.01900901456374149
한경면,0.05987735698694416,0.09993200765375462,0.0632075528326912,0.08098547333948103,0.10965248743177583,0.07437640183846936,0.06450035488974926,0.11316600754200346,0.07868469758013671,0.09928743630288897,0.06026916695211026,0.0974349279815481
한림읍,0.23298083080471282,0.32421771041819886,0.24232175176473458,0.2971437674702201,0.5186875335918969,0.3154411807506025,0.316623061705682,0.5136178021861588,0.273572128655694,0.449414730555764,0.24118108543249978,0.3348767581672616
화북동,0.24563041365733157,0.4107965807036868,0.25022670587774454,0.24020764951935508,0.3785418484248479,0.23361406152666336,0.23454534178405256,0.3863564325639115,0.25527063495891644,0.4018076884652714,0.24503942627941816,0.4100848869350283
